dataset,hyperparameter_setting_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,method,min
superconduct,11,3,0.0,0.0001,5,1024,50,0.001,Bw-MQ,0.1056273343267521
superconduct,11,3,0.0,0.0001,5,1024,50,0.001,Bw-QQ,0.0827957492386785
superconduct,39,3,0.0001,0.0001,5,4096,70,0.001,SQ,0.082522330020883
superconduct,6,3,0.0001,0.0001,6,4096,70,0.001,Bw-SQ,0.0823731241302619
superconduct,16,4,0.0001,0.0001,6,2048,70,0.0001,FP,0.0823325366076245
superconduct,9,4,0.0,0.0001,10,8192,50,0.001,Po-MQ,0.123892514900003
superconduct,37,4,0.0,0.001,6,512,70,0.0001,Po-QQ,0.1102680868202107
superconduct,16,4,0.0001,0.0001,6,2048,70,0.0001,Pr-MQ,0.0889515663010944
superconduct,3,4,0.0,0.0001,10,512,70,0.0001,Pr-QQ,0.0808038609985754
superconduct,3,4,0.0,0.0001,10,512,70,0.0001,Bw-MQ,0.1012542370953323
superconduct,22,4,0.0,0.0001,8,512,70,0.0001,Bw-QQ,0.0819870557529878
superconduct,39,4,0.0,0.0001,10,512,70,0.001,SQ,0.0824981446035534
superconduct,22,4,0.0,0.0001,8,512,70,0.0001,Bw-SQ,0.0797641352140892
superconduct,7,5,0.0,0.0001,8,1024,70,0.0001,FP,0.0788007973361184
superconduct,7,5,0.0,0.0001,8,1024,70,0.0001,Po-MQ,0.0958385413557098
superconduct,7,5,0.0,0.0001,8,1024,70,0.0001,Po-QQ,0.0946654833147904
superconduct,29,5,0.0,0.0001,6,8192,70,0.001,Pr-MQ,0.0843725452093434
superconduct,7,5,0.0,0.0001,8,1024,70,0.0001,Pr-QQ,0.0798998472503358
superconduct,29,5,0.0,0.0001,6,8192,70,0.001,Bw-MQ,0.0952323023647562
superconduct,29,5,0.0,0.0001,6,8192,70,0.001,Bw-QQ,0.080698150936651
superconduct,20,5,0.0001,0.0001,5,1024,70,0.0001,SQ,0.0795968395582509
superconduct,20,5,0.0001,0.0001,5,1024,70,0.0001,Bw-SQ,0.0823197952786679
superconduct,30,6,0.0,0.0001,6,8192,70,0.001,FP,0.0798514436519539
superconduct,30,6,0.0,0.0001,6,8192,70,0.001,Po-MQ,0.0851199962866409
superconduct,0,6,0.0,0.0001,6,2048,50,0.0001,Po-QQ,0.0905229680952341
superconduct,7,6,0.0,0.0001,10,8192,70,0.0001,Pr-MQ,0.0815897121101014
